Species,current_clim_current_lc,current_clim_future_SSP5_lc,future_clim_current_lc,future_clim_future_SSP5_lc,change_rel_lc,change_rel_cc,change_rel_both,additive,additive_new,add_diff,combined,Family,Threat_status,Range_area,add_sign,comb_sign,threatened
Agalychnis_aspera,4765.130566051647,4703.777626093609,0,0,-1.2875395355404713,-100,-100,-101.28753953554047,-102.57507907108092,-1.2875395355404464,-100,PHYLLOMEDUSIDAE,LC,0.674019992622,-,-,Not-threatened
Agalychnis_callidryas,242983.89458746157,242932.3627484783,0,0,-0.021207923706531694,-100,-100,-100.02120792370653,-100.04241584741305,-0.0212079237065268,-100,PHYLLOMEDUSIDAE,LC,41.9336823046,-,-,Not-threatened
Agalychnis_granulosa,693.9153337969802,654.6453909630305,0,0,-5.659183609486133,-100,-100,-105.65918360948613,-111.31836721897228,-5.659183609486149,-100,PHYLLOMEDUSIDAE,LC,1.56313285916,-,-,Not-threatened
Agalychnis_moreletii,40450.63592202333,40887.29034809871,19957.94012298557,20308.76783045548,1.079474812008193,-50.660997860556556,-49.7936994869384,-49.58152304854836,-49.03465033713164,0.5468727114167251,-49.7936994869384,PHYLLOMEDUSIDAE,LC,5.041895075564263,-,-,Not-threatened
Agalychnis_saltator,6358.134713545832,6357.667449550462,2763.0986260224463,2762.631362027077,-0.0073490735321187165,-56.54230760264106,-56.54965667617318,-56.54965667617318,-56.553812011935655,-0.004155335762476398,-56.54965667617318,PHYLLOMEDUSIDAE,LC,1.04506313572,-,-,Not-threatened
Agalychnis_spurrelli,62944.94559313268,62445.1721599535,47277.92334481499,46849.06789614541,-0.7939850109803023,-24.890040178264876,-25.571358502760127,-25.68402518924518,-25.881648377487565,-0.19762318824238534,-25.571358502760127,PHYLLOMEDUSIDAE,LC,7.54253580118,-,-,Not-threatened
Agalychnis_terranova,4085.3777763356115,4057.283839756157,1575.9400435035789,1566.2237367838998,-0.6876704705789451,-61.42486375110402,-61.66269504239759,-62.112534221682964,-62.53493487129265,-0.4224006496096848,-61.66269504239759,PHYLLOMEDUSIDAE,NT,1.9416269805,-,-,Not-threatened
Alcalus_baluensis,40460.62284116648,40268.795786023526,36907.61591379767,36718.435678656206,-0.4741080133541067,-8.78139454579482,-9.24896084076788,-9.255502559148926,-9.297135854374794,-0.041633295225867784,-9.24896084076788,CERATOBATRACHIDAE,LC,4.39966991752,-,-,Not-threatened
Alcalus_mariae,513.2852736071374,513.2852736071374,0,0,0,-100,-100,-100,-100,0,-100,CERATOBATRACHIDAE,DD,0.064050156648,-,-,Not-applicable
Alcalus_tasanae,3574.77243337225,3573.5523323088905,1707.6078997254215,1706.387798662062,-0.0341308736737796,-52.23170337266602,-52.26583424633979,-52.2658342463398,-52.28366138303562,-0.017827136695821366,-52.26583424633979,CERATOBATRACHIDAE,VU,0.509433041088,-,-,Threatened
Allobates_alessandroi,1201.107170542322,1197.2089170899274,810.29615037316,810.29615037316,-0.32455500624764594,-32.537564486664714,-32.537564486664714,-32.862119492912356,-32.96772178736489,-0.105602294452531,-32.537564486664714,AROMOBATIDAE,DD,0.109986726678,-,-,Not-applicable
Allobates_conspicuus,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AROMOBATIDAE,DD,30.1542945541,NA,NA,Not-applicable
Allobates_crombiei,8951.400142384182,8922.928894889072,0,0,-0.3180647389485035,-100,-100,-100.31806473894851,-100.63612947789701,-0.3180647389485074,-100,AROMOBATIDAE,DD,1.04607656556,-,-,Not-applicable
Allobates_femoralis,4394635.798764487,4369871.718248095,603959.0500447269,601387.0333066934,-0.5635070037738653,-86.25690324066161,-86.31542951805542,-86.82041024443548,-87.30647393543505,-0.4860636909995719,-86.31542951805542,AROMOBATIDAE,LC,458.245989342,-,-,Not-threatened
Allobates_fuscellus,598820.193332735,597193.5960951081,0,0,-0.2716336649527591,-100,-100,-100.27163366495276,-100.5432673299055,-0.2716336649527449,-100,AROMOBATIDAE,DD,55.112948668,-,-,Not-applicable
Allobates_gasconi,90025.84874997367,89986.11410912275,0,0,-0.04413692445296717,-100,-100,-100.04413692445297,-100.08827384890596,-0.04413692445298523,-100,AROMOBATIDAE,DD,7.92726700459,-,-,Not-applicable
Allobates_goianus,387.63228958298964,374.4429518147573,0,0,-3.4025384682017297,-100,-100,-103.40253846820173,-106.80507693640347,-3.4025384682017403,-100,AROMOBATIDAE,DD,2.16154311454,-,-,Not-applicable
Allobates_granti,30725.578535616827,30725.578535616827,0,0,0,-100,-100,-100,-100,0,-100,AROMOBATIDAE,LC,2.69202179128,-,-,Not-threatened
Allobates_insperatus,11446.690421822943,11411.14684299879,0,0,-0.31051402208265166,-100,-100,-100.31051402208266,-100.62102804416529,-0.31051402208262857,-100,AROMOBATIDAE,LC,1.32040282409,-,-,Not-threatened
Allobates_marchesianus,2787946.139461197,2774047.1202001,0,0,-0.4985397337619735,-100,-100,-100.49853973376197,-100.99707946752395,-0.498539733761973,-100,AROMOBATIDAE,LC,276.238093174,-,-,Not-threatened
Allobates_masniger,7925.390147186657,7881.548693572095,0,0,-0.5531772291377317,-100,-100,-100.55317722913773,-101.10635445827545,-0.5531772291377166,-100,AROMOBATIDAE,DD,0.845797188088,-,-,Not-applicable
Allobates_mcdiarmidi,20017.457098899467,19358.5366654062,0,0,-3.2917289655612256,-100,-100,-103.29172896556122,-106.58345793112245,-3.2917289655612336,-100,AROMOBATIDAE,NT,2.75798188758,-,-,Not-threatened
Allobates_melanolaemus,8065.1874862776485,8065.1874862776485,0,0,0,-100,-100,-100,-100,0,-100,AROMOBATIDAE,DD,0.689335742759,-,-,Not-applicable
Allobates_myersi,49943.76222084327,49942.9079927715,3059.120038527087,3059.120038527087,-0.001710379902892724,-93.87487064951145,-93.87487064951145,-93.87658102941434,-93.87818664633578,-0.0016056169214380134,-93.87487064951145,AROMOBATIDAE,LC,4.43960047322,-,-,Not-threatened
Allobates_niputidea,55.30105317220092,54.734032883705886,38.75225752194893,38.18523723345389,-1.0253336165758056,-29.924919510521814,-30.95025312709762,-30.95025312709762,-31.257083386572226,-0.30683025947460507,-30.95025312709762,AROMOBATIDAE,LC,0.402008629281,-,-,Not-threatened
Allobates_olfersioides,61421.70161583012,58016.948362209994,0,0,-5.543241499422451,-100,-100,-105.54324149942245,-111.0864829988449,-5.54324149942245,-100,AROMOBATIDAE,VU,21.8790920889,-,-,Threatened
